Time (s),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s)
0.0,0.19788287435170035,11.161215677734486,2.1931963776769368,-0.8022336374023086,5.281556187008747,2.834948006326109
0.01,0.04063265848286611,10.178096001566551,0.03342137200421816,-0.41859245337708784,6.138403153200835,-0.08185155760408551
0.02,0.06351348946193111,10.556375813833991,0.9444660739322511,0.1645589799962786,6.066489350049471,1.4761514002476255
0.03,-0.36759160797851254,7.804604586286678,1.2843146314232878,0.3177472475316428,4.05133636925597,1.7550501051745053
0.04,0.5889114183527869,9.953980369361162,0.6405928486132302,-0.519683514979481,4.4367008089683,0.5248975852096771
0.05,0.8268833622598195,10.1356445475149,0.7569082846134998,-0.2864302814172317,2.2254841372420398,0.33507451670348026
0.06,0.29942776233804463,8.599444761584303,0.24400116054478516,0.9638510691385164,5.6231463758076226,2.453484773233752
0.07,1.7229654086038773,10.521272589096414,1.9645918027795544,0.26252313221131157,5.836525923945202,1.5531034301499966
0.08,2.407392961593706,9.539293297307372,0.502808853801409,1.8187882154654402,6.034042725460013,-0.2656451888201078
0.09,0.6280539366652665,10.269670583532978,3.337018895451398,2.202126598517003,4.608320904801151,-0.6453317491624755
0.1,1.4903463494993456,10.41991391057543,1.2727283061859564,0.67404322863916,5.319634228339829,-0.45867383546978
0.11,1.1476667859232548,9.462223076166367,3.312207852831028,0.049351706036452836,5.994498936268884,1.5306988519858429
0.12,0.22158490743824288,9.400883980867874,1.6438400638260138,2.934053030510438,4.623294652559433,0.6100082134711166
0.13,-0.23690710373032253,10.240068228075602,0.9142864237682626,-0.5196588462694639,6.150938779302672,1.2493371669202191
0.14,1.033925791206564,9.52138754845324,1.329668443005081,-0.3890816589960703,6.094289359267139,1.0342239270243219
0.15,0.6509781407407884,11.051226598727776,3.30270900062773,0.9649349975426902,4.966833613493145,1.475672813338262
0.16,1.351721103288075,9.333185419745408,3.5860447868909344,0.8717423383000984,4.256016395853267,0.8453750083084209
0.17,2.949984783185153,9.030625122410328,3.322820385472954,0.06517632892955716,4.356191365792938,-0.16114347380443195
0.18,1.8086099642100941,11.14696503797786,2.6349881933867936,1.2576031200333841,3.725849407558198,0.5023116075205238
0.19,2.529084227309218,9.351573396496514,3.9331883847092177,2.2581378918339476,5.295479690320902,0.386720968818556
0.2,2.6494987464048925,10.883419245546603,3.67291521792673,1.1266965421623218,5.292601091006544,0.0014032320431103251
0.21,1.552329890397097,10.509332348287272,4.731888589804964,-0.0925367683728644,4.502070563011506,2.376909595768475
0.22,3.5608895882284384,10.04665020694372,5.32610276146994,-0.6887738766618001,5.25632587997997,2.9756374074659755
0.23,1.2788780418090357,10.276204861597792,4.074338255407613,1.641050378863865,4.9909463115415225,1.4747992271203163
0.24,2.041558661385165,10.310304270899282,5.3961717171185875,2.6052802424150103,5.158242897286857,2.043234850408653
0.25,2.3225890679491847,10.607784683338899,2.311938106105239,0.7527175370882548,4.7903072500807165,2.617547029249313
0.26,2.005748450690992,9.994843137020824,3.420920843727863,1.1636003179223855,3.7516184018652154,1.9845310519007935
0.27,1.775927800140784,10.507358954233622,4.644983618706227,2.861407881673521,3.854183945309102,1.3643126316192051
0.28,4.05470863470134,10.15877138087555,7.9435034050414,0.4055320299395079,6.009375491691955,3.2936729955062702
0.29,3.217712679562047,10.362373243543855,5.226084304596314,1.0347393371185507,4.493043650390519,0.8893399062660072
0.3,2.8816138547363974,9.545479559610758,5.134900450495762,2.020521804002085,6.218500111206864,3.182879473601495
0.31,3.837062164987988,10.495671868621054,5.473551795937676,1.105602469842011,7.321254777947759,1.9582762081406364
0.32,2.906324054537722,10.931739479403953,6.484994963003814,2.8614295862947303,5.500334248855135,2.0941728225827636
0.33,3.920518150104448,9.449013758321543,6.151132453536157,2.542656410115157,4.454339047580443,3.2630791398929713
0.34,2.894669863828427,8.199440347182886,6.665933198563681,2.625320164341195,4.645222881385883,4.130838838221921
0.35000000000000003,3.857577149620884,9.090840052030469,7.222598303725891,0.9035547972463566,3.3214686509153823,4.115422581588724
0.36,4.480490182035577,8.336921152681825,5.768726515528043,2.1291408368200093,5.970446587179183,5.688053546172706
0.37,2.2076574436084617,7.471690050011592,5.592425699410958,2.6019920583359797,5.352412538340101,2.3278560383780977
0.38,3.5023385223154406,8.889428742788294,7.682555660345279,1.7131611022800328,3.7481112426952414,4.786229621000418
0.39,5.41491713057252,10.278356450940697,4.545001413221582,3.0748136931530983,5.118648903212575,4.095080583564468
0.4,4.424344856158103,11.281183486303103,6.994002608385011,0.428569983948178,3.543389163169424,3.868874605466598
0.41000000000000003,5.368319077843694,8.327136795966998,8.8181613992296,1.774803288268446,2.843958737385874,2.5196364269302847
0.42,3.477500741897225,9.5128518621532,9.659470886217532,3.080822209579983,4.35111411583578,1.265906968569238
0.43,5.662937496956803,8.094457162271816,7.751251430680192,1.815914993896487,2.899023792915813,3.10649807093157
0.44,6.782689089798881,9.009910470907084,8.168533466969336,0.7482111833870448,3.1898498252405068,4.888270673713978
0.45,3.764906056285856,9.074225929846802,6.326392181481226,0.680190216637079,2.8229061286122024,3.8419580994831417
0.46,2.0438303021105244,9.722038180915884,6.334267771028175,2.858958563859349,4.348888092196742,3.05372499237742
0.47000000000000003,4.238307474865447,9.566992596163535,8.503635635145065,1.361787939111069,4.562979463379366,5.145965673584633
0.48,3.8990347397015075,7.8844843138292955,6.80166867608591,4.0934576078035025,5.9587440931909565,3.6114475562508632
0.49,4.198184955995719,10.070225211892097,7.898989549596096,2.616887901444592,6.745347186325436,3.5513587227779264
0.5,4.709777738247496,10.786609141670482,7.762990903127112,3.068841329974168,5.0583850689012895,4.940640327964423
0.51,5.317478285770412,7.523086589872773,8.616056309531954,1.4899994019596638,4.32549167471318,4.336235390345446
0.52,7.073271106244938,7.53579293872497,8.561268789874841,3.5540398489161715,4.430154930295718,4.453007488826698
0.53,4.709774833766578,8.417388083991838,9.388727833987142,3.246985102301527,4.7181380653880245,2.816983873556241
0.54,6.280350405863911,7.3794078508568495,6.92117534542281,2.0342645314615466,5.517287411703709,5.155729760537026
0.55,3.209616149387956,8.761740806824019,8.663626562784486,2.0178344954284984,4.755893795993542,5.655451758961581
0.56,4.164430599474321,9.404181262055943,9.277646207257307,2.0729587420108864,2.8609067711205576,4.718387132398643
0.5700000000000001,4.7932089446675175,7.87251066105689,8.877559404210189,3.8523833683076942,3.676906406630288,5.36101234980216
0.58,6.174302493838225,7.088626542937563,9.831079692738069,1.0561342883933318,3.3037012057395865,6.054864124350015
0.59,5.9288371159762905,7.104142647946993,9.775397927333577,1.022094788283097,3.7685450942507366,4.578759449842466
0.6,5.393160542722501,7.454759312254269,8.2570989687164,2.7716733262075204,4.504460492888928,5.583054762324767
0.61,5.108001392382191,7.294890307047742,10.4176718812502,2.629112809940691,3.3569027718878406,3.1280063879470568
