Time (s),Mag_X (µT),Mag_Y (µT),Mag_Z (µT)
0.0,27.951490736646644,41.24224004442909,31.496183004537848
0.01,27.082332141968628,45.53888895642213,33.246020809252876
0.02,39.20794401611949,48.17971928993717,29.088205869247997
0.03,29.20951831409348,35.71886945728136,29.053871263877802
0.04,32.633953764174734,41.7781687454998,30.60327247335524
0.05,33.34682241977329,43.86956117367221,35.40678600705596
0.06,29.543815616169727,40.401225190369736,30.674400914547228
0.07,27.530237920723923,45.12766315482959,35.89472985147259
0.08,17.63858663817529,38.147154828190025,28.439443801414118
0.09,23.940957813450648,37.23865920718579,33.876433544201916
0.1,20.94450556783502,46.583961411473545,29.2435515512854
0.11,28.534392182362097,41.56814250987403,15.173438215186852
0.12,21.358450281444906,40.28436194278361,35.57081635559722
0.13,29.478386684665104,53.7585079824168,33.97191777515551
0.14,34.83315882828858,36.51532551767849,28.024581831727218
0.15,33.14542841069872,32.41552695514933,27.111141260153957
0.16,31.803563281666978,43.23524074539126,42.13034617111683
0.17,30.74937556883688,41.02141340460928,37.73605894717386
0.18,34.694003491107416,37.68069729134291,35.07869718569456
0.19,34.1549488959309,43.05686503477146,30.928375774666367
0.2,42.464039611489774,43.99996813370314,35.229251123655615
0.21,34.38861749646084,41.938609266067786,28.027172268041284
0.22,35.239741140514916,39.50015910032185,35.57712926393604
0.23,24.6020913680691,42.12044483634065,36.09986300814715
0.24,35.66270430748603,43.81227110762986,29.078886802510176
0.25,36.10093491091961,34.56054224839118,32.42592219900447
0.26,37.64769630603053,37.24672173525289,35.07965181114167
0.27,34.225657681604154,42.19426047052269,37.00353907521704
0.28,30.756090608477415,36.07971856832136,34.366173668306025
0.29,33.35113667672627,32.2513520225375,34.42522599021081
0.3,29.29599812915882,42.01483170881839,25.338211037688243
0.31,38.12903925970771,42.79909015862329,27.558106559518862
0.32,32.96787656564227,40.39574648605292,33.759313017673
0.33,25.45841982628662,39.762997805499964,38.588688067894566
0.34,26.25605507040623,31.57725708128354,37.22930196531466
0.35000000000000003,30.547390786107588,39.06406811006978,34.6680769807647
0.36,32.85830637323716,28.372506766938542,38.39443941558425
0.37,30.774330111474775,40.34744677115157,48.20320372301857
0.38,38.097764595015576,38.28287425701189,31.86439450814163
0.39,33.50704647767816,34.629683330000134,34.90463035567889
0.4,34.587165081835344,36.5433657450598,33.86072139776432
0.41000000000000003,34.02270502625011,40.28204088133299,45.27678789902025
0.42,25.813546171675505,44.02886421104035,37.1504169779387
0.43,29.497900932372144,36.04945406465703,44.226028021221495
0.44,37.59025292827368,33.649143199887796,35.583053736273285
0.45,40.69259797474576,40.455425319997886,43.956944521422926
0.46,32.03754634031948,29.294407522532765,39.57052479146381
0.47000000000000003,27.92925838629133,30.3776369127405,37.55012042259763
0.48,43.42042996455149,42.66309550068321,31.94495015776664
0.49,40.70379874416264,46.708293550753005,45.961284697000416
0.5,22.414970254621934,38.954387856317894,32.94136728554334
0.51,35.11693021164416,35.59943063788202,36.431946076447915
0.52,38.92017796105497,46.280517877234104,40.83583278004517
0.53,41.32733286815904,41.957242307742135,33.01184773742541
0.54,36.19582481943037,44.250388094096294,38.46720624551432
0.55,35.41072278646345,43.966093843976694,46.77354342672536
0.56,37.38394001859847,27.617562384512823,46.42376899731157
0.5700000000000001,41.80045720058548,47.77332769749359,41.926085061098334
0.58,29.40646484601475,38.1962745766753,40.02823448435547
0.59,32.03617337901876,37.05323425041676,36.95115381573405
0.6,41.1593109351913,42.285887710291334,47.57807812171913
0.61,41.965517498554384,35.3213943159393,38.225117446392545
0.62,39.57091549822792,36.01313174217139,35.809444235250794
0.63,30.47770615685134,38.468503017380236,41.551731303308514
0.64,28.533986325443472,41.452283002270356,42.56710932922382
0.65,38.144794835208145,43.8180360310993,42.39993333935268
