Time (s),Temperature (C)
0.0,19.730649456178504
0.01,20.65907793900239
0.02,20.01158995832393
0.03,20.33485067978059
0.04,20.653569262767746
0.05,20.81044093061362
0.06,21.42830912723495
0.07,20.4014223555548
0.08,21.72107893691836
0.09,22.19468015734183
0.1,21.47955023765629
0.11,21.340898278595432
0.12,23.126739302153098
0.13,22.6966796872305
0.14,22.688916223263398
0.15,21.396687785482527
0.16,24.331939842940226
0.17,23.85261986815418
0.18,25.17557114523153
0.19,25.16807656710913
0.2,24.269477272566224
0.21,24.65339362677052
0.22,26.352830419573593
0.23,25.04793691719414
0.24,24.888386357340718
0.25,26.499041288259892
0.26,25.985917718350592
0.27,26.330476949357646
0.28,26.808992004251454
0.29,24.8090249342331
0.3,25.725399155868015
0.31,27.6540612169523
0.32,28.872623639679734
0.33,27.810439174865994
0.34,28.07184914460118
0.35000000000000003,27.62479112060538
0.36,26.692645918881816
0.37,28.909980742446496
0.38,30.343534229097124
0.39,29.686471535198294
0.4,29.349551957465437
0.41000000000000003,28.24574602369878
0.42,29.403697686644588
0.43,29.087158084596723
0.44,29.380765358814287
0.45,29.431055872355856
0.46,30.81966426257403
0.47000000000000003,30.791097771399837
0.48,30.421031238399944
0.49,29.690549502237673
0.5,32.410197899387285
0.51,30.970849435775744
0.52,32.27623443255989
0.53,31.731794511703
0.54,33.31400553997193
0.55,31.62494381785026
0.56,33.59715929234491
0.5700000000000001,32.51147652981612
0.58,34.781504970921276
0.59,33.94015424664521
0.6,34.346799011699204
0.61,31.653136206114045
0.62,33.48854776882854
0.63,32.920288373736994
0.64,35.94058073991553
0.65,33.34164288463157
0.66,34.923013295068344
0.67,36.18708296621588
0.68,34.216410674404706
0.6900000000000001,35.28707396229269
0.7000000000000001,35.161807042471935
0.71,36.85469230328189
0.72,35.651866960450846
0.73,37.00670567552228
0.74,37.463328871975115
0.75,36.704779469270306
0.76,36.28589683960779
0.77,35.56633843369252
0.78,36.166652766977315
0.79,38.899023773676134
0.8,40.115810250434194
0.81,37.79792260221036
0.8200000000000001,37.34002875720668
0.8300000000000001,39.22289634645004
0.84,38.430675255712046
0.85,39.19842798834965
0.86,39.40346765844225
0.87,39.52368248466298
0.88,39.277960348318594
0.89,40.7016881981423
0.9,39.729993022415755
0.91,40.76497472525759
0.92,40.10958996408388
0.93,38.76676844181152
0.9400000000000001,39.59626244221141
0.9500000000000001,40.57422475077912
0.96,41.787425038538444
0.97,42.24390453938946
0.98,42.08955982247005
0.99,42.01783446927138
1.0,43.01743719343027
1.01,42.72954535306254
1.02,42.00252971141737
1.03,41.35541873587205
1.04,40.867412675040235
1.05,43.49087297265338
1.06,43.048156187466454
1.07,43.96867625152042
1.08,43.10897818226917
1.09,42.77282493223791
1.1,44.413957905086136
1.11,43.29109616952995
1.12,44.61936943785571
1.1300000000000001,43.09324442514328
1.1400000000000001,45.30244994523305
1.1500000000000001,45.788623400820754
1.16,45.69532304944834
1.17,45.81481044614327
1.18,44.347894810735426
1.19,46.91868779361239
1.2,45.913740301590025
1.21,46.199321429763714
1.22,46.42080393460955
1.23,46.346545152492865
1.24,46.668282199992156
1.25,46.73988877986224
1.26,47.9084592910657
1.27,48.41919185675182
1.28,48.24721254420197
1.29,47.46756975426388
1.3,49.606335225079526
1.31,48.49431879958102
1.32,49.222233911908226
1.33,48.318005675807925
1.34,48.710255724473654
1.35,50.91962747914778
1.36,50.45626014816331
1.37,48.614433602828626
1.3800000000000001,48.84030463406326
1.3900000000000001,50.93849779869427
1.4000000000000001,50.58442577011746
1.41,50.85387180781085
1.42,50.92636744468409
1.43,50.604493935500976
1.44,52.62346285891864
1.45,50.652468480932455
1.46,51.90639877970246
1.47,50.675838364498325
1.48,53.09262200336235
1.49,50.98856800662255
1.5,53.076553665037125
1.51,51.52513776242196
1.52,51.480166400622196
1.53,52.72548123588918
1.54,51.234712031310686
1.55,52.81847768955637
1.56,51.94164532660936
1.57,54.200231664029126
1.58,53.31969436779195
1.59,53.65308357900432
1.6,54.24238465090232
1.61,54.341675986686845
1.62,52.77116865560957
1.6300000000000001,56.910330074418596
1.6400000000000001,53.38338456264652
1.6500000000000001,54.67991012120703
1.6600000000000001,53.89892909445692
1.67,54.49157524741629
1.68,56.16114192009461
1.69,53.37122790610785
1.7,55.93457517688349
1.71,57.049728479964756
1.72,57.27011056556572
1.73,55.709409458964686
1.74,57.76136407663017
1.75,55.06117768915212
1.76,57.20312172254906
1.77,55.11160407623839
